10 Mbps | 10 Мегабит в секунду скорость передачи в сети Ethernet
Agent (агент)| - Применительно к SNMP термин агент означает управляющую систему. В модели клиент-сервер - часть системы, выполняющая подготовку информации и обмен ею между клиентской и серверной частью. См. также NMS, DUA, MTA.
Aggregate link (составной канал) - См. Composite Link.
Algorithm |- алгоритм - Набор упорядоченных шагов для решения задачи, такой как математическая формула или инструкция в программе. В контексте кодирования речи алгоритмами называют математические методы, используемые для компрессии речи. Уникальные алгоритмы кодирования речи патентуются. Конкретные реализации алгоритмов в компьютерных программах также являются субъектом авторского права.
American National Standards Institute (Американский институт стандартов)| - Организация, ответственная в США за разработку и публикация стандартов, связанных с кодированием, передачей сигналов и т.п. ANSI является членом Международного комитета по стандартизации (ISO).
Amplitude - амплитуда| - Расстояние между пиками (максимальным и минимальным уровнем) сигнала. Называется также размахом ("height").
AMI (Alternate Mark Inversion)| - Схема биполярного кодирования, в которой последовательные объекты кодируются противоположной полярностью.
Analog (аналоговый)| - Сигнал, представленный непрерывным (в отличие от дискретного цифрового) изменением той или иной физической величины (например, человеческая речь).
Analog Loopback (аналоговая петля)| - Метод тестирования, при котором переданный сигнал возвращается в устройство через петлю с аналоговой стороны устройства.
Analog Transmission - аналоговая передача| - Способ передачи сигналов голоса, видео, данных - при котором передаваемый сигнал аналогичен исходному. Иными словами, если вы, говоря в микрофон, будете смотреть на экран осциллографа, к которому подключен микрофон и выход усилителя (линии передачи), вы сможете заметить, что сигналы имеют почти одинаковую форму (с точностью до искажений). Единственным отличием является использование для передачи высокочастотной несущей.
ANSI|: American National Standards Institute (Американский институт стандартов).- Организация, ответственная за стандарты в США. ANSI является членом Международного комитета по стандартизации (ISO).
AOW:| Asia and Oceania Workshop. - Один из трех равноправных региональных центров реализации OSI. См. также OIW и EWOS.
AOWAPI (Application Program Interface| - Интерфейс прикладного программирования). - Набор соглашений, определяющих правила вызова функций и передачи параметров из прикладных программ.
API: Application Program Interface (Интерфейс прикладных программ).| - Набор соглашений, определяющих правила вызова функций и передачи параметров из прикладных программ.
AppleTalk| - 1. Многоуровневая сетевая архитектура, использующая дейтаграммы для приема и передачи сообщений. AppleTalk Phase 2 использует расширенную адресацию, поддерживающую до 16 миллионов устройств на сегмент. 2. Сетевой протокол от Apple Computer, разработанный для обмена данными между компьютерами Apple и другими.
Application Layer (Уровень приложений)| - Верхний уровень модели OSI, обеспечивающий такие коммуникационные услуги, как электронная почта и перенос файлов.
ARP: Address Resolution Protocol (Протокол разрешения адресов).| - Протокол Internet, используемый для динамического преобразования адресов Internet в физические (аппаратные) адреса устройств локальной сети. В общем случае ARP требует передачи широковещательных сообщений всем узлам, на которое отвечает узел с соответствующим запросу IP-адресом.
ARPA: Advanced Research Projects Agency.| - Сейчас называется DARPA Государственное агенство США, организовавшее сеть ARPANET.
ARPANET| - Сеть с коммутацией пакетов, организованная в начале 70-х годов. Эта сеть явилась прообразом сегодняшней сети Internet. ARPANET была расформирована в июне 1990.
ARQ (Automatic Request for Repeat or Retransmission| - автоматический запрос повторной передачи) - Режим связи, при котором получатель запрашивает у отправителя повтор влока данных или кадра при обнаружении ошибок.
ASCII (American Standard Code for Information Interchange| - американский стандартный код для обмена информацией) - American Standard Code for Information Interchange. Набор символов ASCII Character Set A character set consisting only of the characters included in the original 128-character ASCII standard.
ASN.1 (Abstract Syntax Notation One)| - Язык OSI для описания абстрактного синтаксиса. Язык ASN.1 определен в стандартах CCITT X.208 и ISO 8824. В CMIP и SNMPязык ASN.1 определяет синтаксис и формат взаимодействия между управляемыми устройствами и управляющими приложениями. См. также BER.
Asynchronous Transmission (асинхронная передача)| - Метод передачи, используемый для пересылки данных по одному символу, при этом промежутки между передачей символов могут быть неравными. Каждому символу предшествуют стартовые биты, а окончание передачи символа обозначается стоп-битами. Иногда этот метод передачи называют старт-стоповым (start-stop transmission).
ATM | - Asynchronous Transfer Mode (асинхронный режим передачи) - Стандартизованная ITU технология коммутации пакетов фиксированной длины - ячеек (cell). Режим ATM является асинхронным в том смысле, что ячейки от отдельных пользователей передаются апериодически. Эта технология предназначена для передачи данных со скоростью от 1.5 Мбит/сек до 2 Гбит/сек и обеспечивает эффективную передачу различных типов данных (голос, видео, multimedia, трафик ЛВС) на значительные расстояния. Спецификации ATM разрабатываются Форумом ATM (ATM Forum) независимой ассоциацией производителей и пользователей.
Attach unit interface (AUI)| - Интерфейс с 15-контактным разъемом DB-15, используемый для подключения кабелей или трансиверов к сетевым адаптерам.
Attenuation (поглощение)|| - Потери сигнала в оборудовании и линии, измеряемые в децибелах.
Attribute (атрибут)| - Форма информации, обеспечиваемая Службой каталогов X.500 (X.500 Directory Service). Базовая информация о каталогах состоит из записей, каждая из которых содержит один или несколько атрибутов. Каждый атрибут содержит тип идентификатора и одно или несколько значений. Каждая операция чтения каталога (Read) может отыскивать некоторые (или все) атрибуты в заданной записи.
Audio Frequencies (Звуковые частоты)| - Диапазон частот, воспринимаемых человеческим ухом (обычно его принимают равным 15 - 20000 Герц). По телефонным линиям передаются только частоты в диапазоне от 300 до 3000 Гц. Из этого можно сделать вывод, что телефон нельзя считать устройством высокого класса (Hi-Fi).
AUI| - См. Attach unit interface
Automatic Broadcast Management| - Технология, используемая компанией MICOM для управления широковещательным трафиком и позволяющая ограничить область передачи такого трафика данной локальной сетью. Использование такой технологии позволяет значительно снизить расход полосы пропускания WAN-канала.
Automatic WAN Routing| - Технология, используемая компанией MICOM для обеспечиения автоматической передачи трафика ЛВС в другие локальные сети через промежуточные маршрутизаторы. Трафик появляется только в той ЛВС, где расположен получатель пакета; для маршрутизации не требуется создавать вручную таблицы маршрутизации или устанавливать адреса устройств на уровне 3.
Autonomous System (Автономная система)| - Группа маршрутизаторов (шлюзов) из одной административной области, взаимодействующих с использованием общего протокола Interior Gateway Protocol (IGP). См. также subnetwork.
AWG (American Wire Gauge System| - американская система оценки проводов) - Принятая в США система оценки провода на основе диаметра проводника.
Backbone (магистраль. бэкбон, опорная сеть)| - Первичный механизм связи в иерархическсой распределенной системе.  Все системы, связанные с промежуточной системой магистрали, обеспечивают возможность соединения с любой другой системой, подключенной к магистрали. Это не запрещает, однако, установки частных соглашений по использованию магистрали в целях обеспечения безопасности, производительности или в силу коммерческих причин.
Balanced (сбалансированный)| - Линия передачи, в которой напряжения на двух проводниках равны по величине, но противоположны по знаку относительно земли.
Balun (BALanced/UNbalanced)| - Трансформатор с согласованием импеданса для соединения сбалансированных линий (скрученные пары) с несбалансированными (коаксиальный кабель и т.п.).
Bandwidth (ширина полосы, полоса)| - Диапазон частот, передаваемых через данное устройство или среду. Более широкая полоса позволяет передать больше информации в единицу времени.
Bart Simpson (R)| - Герой культа Internet и OSI.
Baseband (прямая, немодулированная [передача]) |- Характеристика любой сетевой технологии, использующей передачу на одной несущей частоте, и требующей от всех подключенных к сети станций участвовать в каждой передаче. См. такжеbroadband.
Baseband modem |- Модем для прямой (немодулированной) передачи данных.
Baud (бод)| - Единица скорости передачи сигнала, измеряемая числом дискретных переходов или событий в секунду. Если каждое событие представляет собой один бит, бод эквивалентен бит/сек (в реальных коммуникациях это зачастую не выполняется).
BER: Basic Encoding Rules (Основные правила кодирования).| - Стандартные правила кодирования единицы данных, описанные в ASN.1. Иногда этот термин некорректно отождествляют с ASN.1, который содержит только язык описания абстрактного синтаксиса, а не методы кодирования.
BERT (Bit Error Rate Test/Tester)| - Устройство, используемое для тестирования коммуникационных устройств на предмет определения числа ошибочных битов в единицу времени. Обычно измеряется отношением числа ошибок к к общему числу переданных битов, выраженное степенью 10.
big-endian |- Формат для хранения и передачи двоичных данных, при которой старший (наиболее значимый бит (или байт) передается сначала. Обратное преобразование называется little-endian. Термин происходит от "остроконечников" и "тупоконечников" из "Путешествия Гулливера" Джонатана Свифта.
BIND (Berkeley Internet Name Domain|) - Программа для поддержки сервера имен доменов, первоначально написанная для UNIX 4.3BSD. В настоящее время является наиболее популярной реализацией DNS и перенесена практически на все платформы. BIND задает структуру баз данных, функции DNS и конфигурационные файлы, требующиеся для установки и функционирования сервера имен.
Bipolar (биполярный)| - Метод передачи сигнала (используется в Е1/Т1), в котором единицы представляются поочередно импульсами напряжения противоположной полярности, а 0 - отсутствием импульсов.
BISDN (Broadband Integrated Services Digital Network |- широкополосная цифровая сеть с интеграцией услуг) - Следующее поколение сетей ISDN, позволяющих передавать цифровые данные, голос и динамические изображения (видео). АТМ обеспечивает коммутацию, а SONET или SDH физический транспорт.
Bit (бит)| - Минимальная единица информации в двоичной системе. Значение бита представляется 0 или 1.
Bit Interleaving/Multiplexing (чередование/мультиплексирование битов)|- Процесс, используемый в мультиплексировании с разделением времени, когда отдельные биты из различных низкоскоростных каналов поочередно передаются в один скоростной канал.

BITNET: Because It's Time NETwork.| - Академическая компьютерная сеть, построенная изначально на базе мэйнфреймов компании IBM, связанных между собой по выделенным линиям с полосой 9600 бит/сек. Недавно эта сеть была объединена в CSNET (Computer+Science Network - еще одна академическая сеть) для создания сети CREN (The Corporation for Research and Educational Networking корпорация исследовательских и учебных сетей). См также CSNET.
BOC: Bell Operating Company.| - Чаще обозначается аббревиатурой RBOC (Regional Bell Operating Company). Местная телефонная компания в каждом из семи регионов США.
BootP (Bootstrap Protocol)| - Протокол, используемый для удаленной загрузки бездисковых рабочих станций. Станция в результате получает IP-адрес. Для загрузки используется протокол TFTP.
Bps (Bits Per Second - бит/сек)| - Единица измерения скорости при последовательной передаче данных.
Bridge (мост)| - Устройство, соединяющее две или несколько физических сетей и передающее пакеты из одной сети в другую. Мосты могут фильтровать пакеты, т.е. передавать в другие сегменты или сети только часть трафика, на основе информации канального уровня (MAC-адрес). Если адрес получателя пристутствует в таблице адресов моста, кадр передается только в тот сегмент или сеть, где находится получатель. Похожими устройствами являются повторители (repeater), которые просто передают электрические сигналы из одного кабеля в другой и маршрутизаторы (router), которые принимают решение о передаче пакетов на основе различных критериев, основанных на информации сетевого уровня. В терминологии OSI мост является промежуточной системой на уровне канала передачи данных (Data Link Layer).
Broadband (широкополосная сеть)| - Широкополосная технология, способная обеспечить одновременную передачу голоса, данных, видео. Обычно это осуществляется путем мультиплексирования с разделением частот. Широкополосная технология позволяет нескольким сетям использовать один общий кабель трафик одной сети не оказывает влияния на передачу сигналов другой сети поскольку "разговор" происходит на разных частотах.
Broadcast (широковещание)| - Система доставки пакетов, при которой копия каждого пакета передается всем хостам, подключенным к сети. Примером широковещательной сети является Ethernet.
BSD - Berkeley Software Distribution.| - Термин, используемый для описания различных версий операционной системы Berkeley UNIX (например, 4.3BSD UNIX).
Buffer (буфер)| - Устройство [временного] хранения, в общем случае используемое для компенсации разницы скоростей или тактирования при обмене данными между устройствами. Буферизация также используется для подавления дрожи (jitter).
Burstiness| - В контексте сетей frame relay данные, использующие полосу канала лишь спорадически (т. е. для передачи данного типа информации полоса канала используется лишь часть времени). Во время пауз трафик передается по каналу другом направлении. Интерактивный обмен и связь LAN-LAN по своей природе являются пакетными, т. е. данные передаются время от времени непрерывный поток отсутствует. В промежутках между передачей данных канал простаивает ожидая отклика от терминального оборудования (DTE) или ввода данных пользователем.
BUS (Broadcast and Unknown Server)| - Сервер широковещательных и неизвестных сообщений
Bus (шина)| - Путь (канал) передачи данных. Обычно шина реализована в виде электрического соединения с одним или несколькими проводниками и все подключенные к шине устройства получают сигнал одновременно.
Bus topology (шинная топология)| - Топология сети, при которой в качестве среды передачи используется единый кабель (он может состоять из последовательно соединенных отрезков), к которому подключаются все сетевые устройства. Такая топология широко применялась поначалу в сетях Ethernet, но сейчас она используется достаточно редко в силу присущих ей ограничений и в связи со значительными сложностями при расширении сети или переносе компьютеров. Кроме того, при повреждении кабеля весь сегмент перестает работать, а локализация повреждений является сложной задачей.
Byte (байт)| - Группа битов (обычно 8).
C
Carrier (несущая)| - Непрерывный сигнал фиксированной частоты, который можно модулировать другим (более низкочастотным) сигналом, несущим информацию.
catenet| - Сеть, в которой хост-компьютеры подключены к сетям с различными характеристиками, а эти сети соединены между собой шлюзами (gateways) или маршрутизаторами. Примером такой сети является Internet. См. также IONL.
CCITT (International Consultative Committee for Telegraphy and Telephony - МККТТ).| - Подразделениие Международного Телекоммуникационного Союза (ITU) ООН. CCITT разрабатывает технические стандарты, известные как "Recommendations" (рекомендации) по всем международным аспектам цифровых и аналоговых коммуникаций. См. также X Recommendations.
CCR: Commitment, Concurrency, and Recovery.| - Элемент прикладного сервиса OSI используемого для создания элементарных операций в распределенных системах. Используется главным образом при реализации двухфазных операций для транзакций и безостановочных.
CD (Carrier Detect - обнаружение несущей)| - Интерфейсный сигнал, используемый модемом для того, чтобы показать подключенному к локальному модему терминальному устройству получение сигнала от удаленного модема.
CDP (Conditional Di-Phase)| - Метод кодирования сигнала (вариант манчестерского кодирования), обеспечивающий неполярное подключение проводников (не имеет значение расположение проводников в паре).
Channel (канал)| - Путь передачи [электрических] сигналов между двумя или несколькими точками. Используются также термины: link, line, circuit и facility
Channel Bank |- Оборудование, подключающее многочисленные голосовые каналы к высокоскоростному каналу за счет преобразования голоса в цифровую форму и мультиплексирования с разделением времени (Time Division Multiplexing). Голос преобразуется в сигнал с полосой 64 Кбит/сек - в канал T1 (1.544 Мбит/сек - США) укладывается 24 голосовых канала, в E1 или СЕРТ (2.048 Мбит/сек Европа) - 30.
Characteristic Impedance (характеристический импеданс)| - Конечный импеданс электрически однородной линии передачи.
Character TDM |- Процесс, используемый в мультиплексировании с разделением времени, когда отдельные символы из различных низкоскоростных каналов поочередно передаются в один скоростной канал.
CIR - Committed Information Rate| - Минимальная пропускная способность, гарантируемая для каждого PVC и SVC. CIR обычно составляет половину скорости порта в коммутаторе frame relay. Если сеть не занята, данные могут передаваться с использованием полной скорости порта без дополнительной оплаты.
client-server model (модель клиент-сервер)| - Общий способ описания услуг и модель пользовательских процессов (программ) для этих услуг. Примерами могут служить сервер имен/парадигма разрешеия имен в DNS и соотношение файл-сервер/файл-клиент в системе с NFS и бездисковыми.
CLNP: Connectionless Network Protocol.| - Протокол OSI для обеспечения OSI Connectionless Network Service (datagram service). CLNP представляет в OSI эквивалент протокола IP в Internet, его иногда называют ISO IP.
Clock (часы, тактовый генератор)| - Устройство, генерирующее периодические сигналы, используемые для синхронизации других устройств или передачи данных.
CLTP: Connectionless Transport Protocol.| - Обеспечивает сквозную (end-to-end) адресацию передачи данных (с помощью Transport selector) и контроль ошибок (с помощью контрольной суммы), но не может гарантировать доставку или обеспечивать управление потоком. В OSI является эквивалентом UDP.
CMIP (Common Management Information Protocol| - протокол общей управляющей информации). - Стандартный протокол сетевого управления для сетей OSI. Этот протокол определяет ряд функций, отсутствующих в SNMP и SNMP-2. Сложность протокола CMIP обусловила его малую распространенность, однако, в некоторых случаях обойтись без него не удается.
CMOT: CMIP Over TCP.| - Попытка использовать протокол сетевого управления OSI для управления сетью TCP/IP.
Collision (конфликт, коллизия)| - Попытка двух (или более) станций одновременно начать передачу пакета в сети CSMA/CD. При обнаружении конфликта обе станции прекращают передачу и пытаются возобновить ее по истечении определяемого случайным образом интервала времени. Использование случайной задержки позволяет решить проблему возникновения повторного конфликта.
Collision domain (область коллизий, коллизионный домен)| - Часть сети (сегмент), в котором станции используют общую среду передачи. При попытке одновременной передачи данных двумя или более станциями возникает конфликт (коллизия). Для разрешения конфликтов используется протокол CSMA/CD.
Composite Link (составной/композитный канал)| - Линия или устройство, передающее мультиплексированные данные между парой мультиплексоров или концентраторов. Используются также термины aggregate link и main link.
Compression (компрессия, сжатие)| - Любой из множества методов, позволяющих уменьшить число битов, представляющих данную информацию для передачи или хранения. Компрессия снижает требуемую для передачи полосу или экономит пространство, используемое для хранения.
Contention (соединение)| - Состояние, возникающее при обмене данными между двумя или несколькими станциями по одной линии или каналу.
Connectionless (без организации соединения)| - Модель обмена данными, в которой не требуется организовывать прямое соединение для обмена данными. Иногда (неточно) называется дэйтаграммой. Примеры: ЛВС, Internet IP, OSI CLNP, UDP, обычная почта.
Connection-oriented (на основе соединений)| - Модель обмена данными, в которой обмен делится на три четко выраженные фазы: организация соединения, передача данных и разрыв соединения. Примерами таких систем являются X.25, Internet TCP, OSI TP4, обычная телефонная связь.
Control Characters (управляющие символы)| - В коммуникациях - любые дополнительные символы, используемые для управления передачей или ее облегчения (например, символы, связанные с опросом, кадрированием, синхронизацией, контролем ошибок и т.п.).
Control Signals (управляющие сигналы)| - Сигналы, передаваемые между различными частями коммуникационной системы как часть механизма управления системой (например, сигналы RTS, DTR или DCD).
Core gateway (внутренний шлюз)| - Исторически один из набора шлюзов (маршрутизаторов), работающих в Internet Network Operations Center. Система внутренних шлюзов формирует центральную часть системы маршрутизации Internet, в которой все группы должны предлагать пути в свои сети из внутреннего шлюза с использованием протокола Exterior Gateway Protocol (EGP). См. также EGP, backbone.
COS: Corporation for Open Systems.| - Производитель и группа пользователей, занимающихся тестированием, сертификацией и продвижением продукции OSI.
COSINE: Cooperation for Open Systems Interconnection Networking in Europe.| - Программа, поддерживаемая Европейской комиссией (European Commission), ставящая целью связать воедино европейские исследовательские сети на основе OSI.
CRC (Cyclic Redundancy Check - циклическая проверка четности с избыточностью)| - Схема определения ошибок при передаче данных. На основе полиномиального алгоритма вычисляется контрольная сумма передаваемого модуля данных и передается вместе с данными. Получившее пакет устройство заново вычисляет контрольную сумму по тому же алгоритму и сравнивает ее с принятым значением. Отсутствие расхождений говорит о высокой вероятности безошибочной передачи.
|Crosstalk (перекрестные помехи)| - Паразитная передача сигнала от одного устройства (линии) к другому (обычно соседнему).
CSMA/CD (Carrier sense multiple access/collision detection |- множественный доступ к среде с обнаружением конфликтов и детектированием несущей) - Метод доступа к среде передачи (кабелю), определенный в спецификации IEEE802.3 для локальных сетей Ethernet. CSMA/CD требует, чтобы каждый узел, начав передачу, продолжал "прослушивать" сеть на предмет обнаружения попытки одновременной передачи другим устройством - коллизии. При возникновении конфликта, передача должна быть незамедлительно прервана и может быть возобновлена по истечении случайного промежутка времени. В сети Ethernet с загрузкой 35-40% коллизии возникают достаточно часто и могут существенно замедлить работу. При небольшом числе станций вероятность коллизий существенно снижается.
CSNET: Computer+Science Network.| - Сеть больших компьютеров, расположенных главным образом в США, но связанных с другими странами. Сайты CSNET включают университеты, исследовательские лаборатории и некоторые коммерческие структуры. Сейчас объединена с сетью BITNET для создания сети CREN. См. также BITNET.
CSU (Channel Service Unit - устройство обслуживания канала)| - Оборудование, устанавливаемое на стороне заказчика (потребителя услуг), для подключения к линиям телефонной компании, обеспечивающим доступ к DDS или T1. Устройства CSU обеспечивают диагностику и защиту сети.
CTS (Clear To Send - готовность к приему)| - Сигнал управления последовательным устройством (например, модемом), передаваемый от DCE (устройство передачи данных) к DTE (терминальное оборудование) и показывающий, что DTE может продолжать передачу данных.
Current Loop (токовая петля)| - Метод передачи данных. Единицы в этом случае представляются импульсом тока в петле, 0 - отсутствием тока.
D
DACS (Digital Access and Cross Connect System система цифрового доступа и коммутации)| - Коммутатор, позволяющий отображать электронным способом линии T1или E1 на уровень DS-0 (64 kbps). Называется также DCS и DXS.
DARPA: Defense Advanced Research Projects Agency.| - Государственное агенство США, основавшее ARPANET.
Data (данные)| - Представленная в цифровой форме информация, включающая речь, текст, факсимильные сообщения, динамические изображения (видео) и т.п.
Data Link Layer| - Уровень 2 в модели OSI. Этот уровень обеспечивает организацию, поддержку и разрыв связи на уровне передачи данных между элементами сети. Основной функцией уровня 2 является передача модулей информации или кадров и связанный с этим контроль ошибок.
Data Rate, Data Signaling Rate| - Показатель скорости передачи данных, измеряемой в бит/сек (bps).
DB (Decibel -децибел)| - Логарифмическая единица измерения относительного уровня сигнала (отношения двух сигналов).
DBm |- Логарифмическая единица измерения мощности сигнала по отношению к 1 милливатту (1 мВт = 0 dbm, 0.001 мВт = -30 dbm).
DCA (Defense Communications Agency| - Агенство Военной Связи) - Государственное агенство, отвечающее за сеть Defense Data Network (DDN).
DCE (Data Communications Equipment|| - оборудование передачи данных) - Устройства, обеспечивающие организацию и разрыв соединений, а также управления ими для передачи данных. примером такого устройства является модем.
DCE: Distributed Computing Environment.| - Архитектура стандартных интерфейсов программирования, соглашений и функций серверов (например, именование, распределенная файловая система, удаленный вызов процедур) для распределенных приложений, работающих в гетерогенных сетях. Разрабатывается и управляется Фондом Открытых Программ (Open Software Foundation -OSF), консорциумом HP, DEC, и IBM. См. также ONC.
DDCMP, Digital Data Communications Message Protocol| - Коммуеикационный протокол, используемый компанией DEC для связи между компьютерами.
DDN (Defense Data Network| - военная сеть передачи данных) - Включает MILNET и некоторые другие сети DoD.
DDNS (Dynamic Domain Name System)| - Динамическая система имен доменов, определенная в IBM OS/2 Warp server для динамического выделения имен хостам на основании их IP-адресов. Система DDNS не стандартизована и не включена в RFC, возможна ее стандартизация в ближайшем будущем.
DDS (Digital Data Service)| - Торговая марка компании AT&T, используемая для обозначения линий передачи данных с полосой от 2400 до 56000 бит/сек. Используется также за пределами США для обозначения линий 64 - 128 Кбит/сек и выше.
DDN (Defense Data Network - военная сеть передачи данных)| - Включает MILNET и некоторые другие сети DoD.
DEC LAT, DEC Local Area Transport| - Торговая марка для коммуникационного протокола компании DEC, обеспечивающего подключение терминалов к сети DECnet.
DECnet| - Торговая марка для сетевой архитектуры компании DEC, позволяющей связывать компьютеры DEC по протоколу DDCMP (Digital Data Communications Message Protocol протокол цифровой передачи сообщений).
Dedicated LAN (выделенная ЛВС)| - Этот термин используется для обозначения ситуации когда к порту коммутатора подключен один сервер или рабочая станция. В этом случае вся полоса (10 Мбит/сек) используется одним устройством.
Designated Router (отмеченный маршрутизатор)| - В каждой сети, имеющей по крайней мере 2 маршрутизатора, имеется Отмеченный маршрутизатор (Designated Router). Дополненный протоколом приветствия (Hello Protocol), этот маршрутизатор генерирует информацию о состоянии канала (link state advertisement) для сети с множественным доступом и выполняет ряд других действий.
DHCP (Dynamic Host Configuration Protocol| - протокол динамической настройки хостов) - Протокол динамического конфигурирования хост-машин, обеспечивающий передачу конфигурационных параметров клиентам TCP/IP. Протокол DHCP является усовершенствованием BootP и добавляет к этому протоколу возможность повторного использования IP-адресов и ряд новых функций маски подсетей, используемые по умолчанию маршрутизаторы, серверы DNS.
DHCPack| - Последний шаг обмена по протоколу DHCP. Сервер DHCP посылает сообщение DHCPack на хост вместе с требуемой для конфигурирования информацией.
DHCPDiscover| - Первый шаг при обмене информацией по протоколу DHCP с хост-машиной, не имеющей IP-адреса. Хапрашивающий адрес хост должен передать широковещательный запрос DHCPDiscover для поиска DHCP-сервера. В этот пакет включается физический адрес хоста и, зачастую его имя.
DHCPOffer| - Второй шаг обмена DHCP. Это сообщение посылается сервером DHCP на хост с предложением определенного IP-адреса.
DHCPRequest| - Первый или третий шаг обмена DHCP. Это сообщение передается хостом серверу DHCP.
Diagnostics (диагностика)| - Процедуры и системы, детектирующие и изолирующие ошибки и некорректно работающие устройства, сети и системы.
Digital (цифровой)| - Двоичная информация, выводимая из компьютера или терминала. В коммуникационной сфере дискретная (импульсная) передача информации (в отличие от непрерывной аналоговой).
Digital Loopback (цифровая петля)| - Метод тестирования цифровой обработки, выполняемой коммуникационным устройством. По отношению к модему цифровая петля устанавливается со стороны интерфейса RS-232 и позволяет тестировать большинство частей модема.
Distortion (искажение, дисторсия)| - Нежелательное изменение формы сигнала при его передаче между двумя точками коммуникационной системы.
Domain (домен)| - В сети Internet - часть иерархии имен. Синтаксически доменное имя Internet содержит последовательность имен (меток), разделенных точками (.) например, "tundra.mpk.ca.us." В OSI термин домен используется как административное деление сложных распределенных систем, как в MHS Private Management Domain (PRMD) и Directory Management Domain (DMD).
DNS (Domain Name System - система имен доменов)| - Распределенный механизм имен/адресов, используемых в сети Internet. Используется для разрешения логических имен в IP-адреса. DNS используется в сети Internet, обеспечивая возможность работы с понятными и легко запоминающимися именами вместо неудобоваримых чисел IP-адреса.
Domain (домен)| - В сети Internet часть иерархии имен. Синтаксически доменное имя Internet содержит последовательность имен (меток), разделенных точками (.) например, "tundra.mpk.ca.us." В OSI термин домен используется как административное деление сложных распределенных систем, как в MHS Private Management Domain (PRMD) и Directory Management Domain (DMD).
Dotted decimal notation |- Синтаксическое представление 32-битовых адресов в виде четырех 8-битовых целых чисел, разделенных точками. Используется для представления IP-адресов в Internet (192.67.67.20).
DOV (Data Over Voice |- данные вместе с голосом ["поверх"]) - Метод одновременной передачи данных и голоса по скрученной паре медный проводников.
DS-3 - Digital Signal level 3| - Термин, используемый для обозначения цифровых сигналов с полосой 45 Мбит/сек, передаваемых по линии T3.
DSA: Directory System Agent.| - Программа, обеспечивающая службу каталогов X.500 Directory Service для части информационной базы каталогов. В общем случае каждый DSA отвечает за информацию для одной организации или подразделения.
DSU (Digital Service Unit)| - Пользовательское устройство, взаимодействующее с цифровым устройством (таким как DDS или T1 в комбинации с CSU). DSU конвертирует пользовательские данные в биполярный формат для передачи.
DSU/CSU| - Внешнее устройство, объединяющее в себе возможности DSU и CSU и обеспечивающее подключение оборудования к цифровым системам.
DTE (Data Terminal Equipment - терминальное оборудование)| - Устройство, передающее данные и/или принимающее их от DCE (например, терминала или принтера). В сетях Ethernet термин DTE может использоваться применительно к любому активному устройству, кроме повторителей - сетевому адаптеру, маршрутизатору, мосту, модулю управления (NMM) и т.п.
DTR (Data Terminal Ready - готовность терминала)| - Сигнал управления последовательным устройством (например, модемом), передаваемый устройством DTE и говорящий модему о готовности DTE начать передачу данных.
